Department Family,Entity,Paid Date,Expense Type,Expense Area,Supplier,Transaction No,Amount,Description,Post Code,Country
Department of Health,NHS Business Services Authority,14/06/2024,Postage Charges,Operations,ROYAL MAIL,80149127,"1,059.08",A/C 0912819048,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Postage Charges,Operations,ROYAL MAIL,80149127,"20,122.59",A/C 0912819048,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,21/06/2024,Postage Charges,Operations,ROYAL MAIL,80149304,"21,645.93",A/C 0912819048,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Postage Charges,Operations,ROYAL MAIL,80149416,"32,290.56",A/C 0006456045,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Postage Charges,Operations,ROYAL MAIL,80149416,"7,784.17",A/C 0006456045,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Postage Charges,Operations,ROYAL MAIL,80149416,"7,124.20",A/C 0006456045,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Postage Charges,Operations,ROYAL MAIL,80149627,"1,078.26",A/C 0912819048,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Postage Charges,Operations,ROYAL MAIL,80149627,"20,486.91",A/C 0912819048,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Postage Charges,Operations,ROYAL MAIL,80149630,"15,650.12",A/C 0526762000,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,25/06/2024,Postage Charges,Operations,ROYAL MAIL,80149630,"5,216.70",A/C 0526762000,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Postage Charges,Operations,ROYAL MAIL,80149804,"17,374.93",A/C 0526762000,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Postage Charges,Operations,ROYAL MAIL,80149804,"5,791.64",A/C 0526762000,S49 1HQ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Professional Fees,Citizen Services,SERCO LIMITED,80148789,"212,457.24",Extended contact centre service,RG27 9UY,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Professional Fees,Citizen Services,SERCO LIMITED,80148795,"159,621.56",Extended contact centre service,RG27 9UY,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,Cloud Storage,"Digital, Data & Technology",TRUSTMARQUE SOLUTIONS LTD,80149258,"140,072.88",Part No. PRX-00002  -  Microsoft,YO26 6RW,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,Cloud Storage,"Digital, Data & Technology",TRUSTMARQUE SOLUTIONS LTD,80149259,"68,648.29",Azure Cloud - Top Up Monthly,YO26 6RW,Great Britain
Department of Health,NHS Business Services Authority,07/06/2024,Telephone Charges,"Digital, Data & Technology",VODAFONE CORPORATE LTD,80149276,"28,089.00",A/C 601544749 END OF CONTRACT CHRGS,RG14 5FF,Great Britain
Department of Health,NHS Business Services Authority,04/06/2024,Bank Charges,Citizen Services,XEROX FINANCE LIMITED,80148924,"348,999.07",Healthy Start Prepaid Cards &,UB8 1DH,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Apprenticeship Levy,People & Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,50040344,"62,201.00",LEVY,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Income Tax,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,"1,291,588.12",948PX00194660-MAY24,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,"511,187.64",948PX00194660/MAY24,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,National Insurance,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,"1,111,066.75",948PX00194660/MAY24,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Student Loan,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,"44,233.00",948PX00194660/MAY24,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,SMP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,"-58,970.26",SMP,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,SPP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,-317.36,SPP,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,SAP,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,50040344,-846.55,SAP,NE98 1ZZ,Great Britain
Department of Health,NHS Business Services Authority,14/06/2024,Software Licences,"Digital, Data & Technology",SOFTCAT LIMITED,80149415,"142,142.47",Extension for one period of 12 months,SL7 1LW,Great Britain
Department of Health,NHS Business Services Authority,28/06/2024,Software Licences,"Digital, Data & Technology",SOFTCAT LIMITED,80149929,"26,978.64",Heroku ¿ 1 Dyno Unit (Per Month) x 70,SL7 1LW,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,External Staff Costs,Workforce Services,ACUITY BUSINESS SOLUTIONS LTD,80148203,"49,634.36",McCloud Consultancy for NHS Pensions,EX2 8LB,Great Britain
Department of Health,NHS Business Services Authority,11/06/2024,External Staff Costs,Workforce Services,ACUITY BUSINESS SOLUTIONS LTD,80148993,"58,108.10",McCloud Consultancy for NHS Pensions,EX2 8LB,Great Britain
